disasterNo,year,seq,group,subgroup_id,type_id,subtype,eventName,country,iso,region_id,continent_id,location,startYear,startMonth,startDay,endYear,endMonth,endDay,totalDeaths,injured,Affected,homeless,totalAffected,damageCost
2000-0082-IDN,2000,82,Natural,Hydrological,Landslide,Mudslide,,Indonesia,IDN,South-EasternAsia,Asia,Brebes district (Jawa Tengah province),2000,2,22,2000,2,24,34,,,,,11600
2000-0701-IDN,2000,701,Natural,Hydrological,Landslide,Mudslide,,Indonesia,IDN,South-EasternAsia,Asia,"Cilacap, Banyumas districts (Jawa Tengah province)",2000,10,29,2000,11,1,40,,54085,2125,56210,43000
2000-0534-IND,2000,534,Natural,Hydrological,Flood,Flash flood,,India,IND,SouthernAsia,Asia,"Adilabad, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddi, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",2000,8,23,2000,8,31,179,16,,252000,252016,173000
2000-0445-IND,2000,445,Natural,Hydrological,Flood,Riverine flood,,India,IND,SouthernAsia,Asia,"Katihar, Sitamarhi districts (Bihar province), Kinnaur district (Himachal Pradesh province), Bankura, Barddhaman, Birbhum, Haora, Hugli, Maldah, Murshidabad, Nadia, North 24 Parganas, West Midnapore districts (West Bengal province), Pithoragarh, Naini Tal districts (Uttarakhand province), Ahmadabad district (Gujarat province), Andhra Pradesh, Assam, Arunachal Pradesh, Madhya Pradesh, Punjab, Uttar Pradesh, Maharashtra, Rajasthan, Chandigarh, Kerala",2000,8,2,2000,8,30,867,,22000000,,22000000,43000
2000-0610-IND,2000,610,Natural,Hydrological,Flood,Riverine flood,,India,IND,SouthernAsia,Asia,"Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province)",2000,9,18,2000,10,21,884,,24600000,,24600000,691500
2000-0679-IRL,2000,679,Natural,Meteorological,Storm,,,Ireland,IRL,NorthernEurope,Europe,"Waterford, Cork provinces",2000,11,,2000,11,,1,,,,,100000
2000-0499-IRN,2000,499,Natural,Hydrological,Flood,Flash flood,,Iran (Islamic Republic of),IRN,SouthernAsia,Asia,"Maneh Va Samalqan area (Bojnord district, Khorasan province)",2000,8,8,2000,8,9,8,,400,,400,6000
2000-0094-ISR,2000,94,Natural,Meteorological,Storm,,,Israel,ISR,WesternAsia,Asia,"Jerusalem, Tel Aviv provinces",2000,1,19,2000,1,19,3,,410,,410,2750
2000-0671-ITA,2000,671,Natural,Hydrological,Flood,Flash flood,,Italy,ITA,SouthernEurope,Europe,"San Rocco al Porto, Salerano towns (Lodi district, Lombardia province) Torino, Chivasso, Ivrea, Banchette, Orco, Soana, Noasca, Ronco Canavese towns (Torino district, Piemonte province), Pavia town (Pavia district, Lombardia province), Cremona town (Cremona district, Lombardia province), Parma town (Parma district, Emilia-romagna province), Piacenza town (Piacenza district, Emilia-romagna province), Aosta, Dora di Aoste, Pollein town (Aosta district, Valle D'aosta province), San Benedetto Po, Borgoforte townd (Mantova district, Lombardia province), Casale Popolo town (Alessandria district, Piemonte province), Fiorano town (Modena district, Emilia-romagna province), Monterosso town (La Spezia district, Liguria province), Genova town (Genova district, Liguria province), Verbania district (Piemonte province)",2000,10,14,2000,10,22,25,,43000,,43000,8000000
2000-0752-ITA,2000,752,Natural,Hydrological,Flood,,,Italy,ITA,SouthernEurope,Europe,"Lombardoa province, Friuli-venezia province, Venezia district (Veneto province), Rovere della Luna town (Trento district, Trentino-alto Adige province), Vinchiana town (Lucca district, Toscana province)",2000,11,20,2000,11,20,5,,2000,,2000,50000
2000-0447-JPN,2000,447,Natural,Meteorological,Storm,Tropical cyclone,Kirogi,Japan,JPN,EasternAsia,Asia,Tookyoo province,2000,7,8,2000,7,9,4,,900,,900,300000
2000-0576-JPN,2000,576,Natural,Meteorological,Storm,Tropical cyclone,Saomai,Japan,JPN,EasternAsia,Asia,"Aiti, Mie, Gifu provinces",2000,9,11,2000,9,14,9,41,180000,,180041,1400000
2000-0438-KHM,2000,438,Natural,Hydrological,Flood,Riverine flood,,Cambodia,KHM,South-EasternAsia,Asia,"Stung Treng, Kratie, Koh Kong, Kampong Cham, Pursat, Kampong Thom, Takeo, Siem Reap, Otdar Meanchey, Kampot, Svay Rieng, Kandal, Phnom Penh, Prey Veng, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Battambang, Banteay Meanchey, Kampong Speu provinces",2000,7,11,2000,8,10,347,53,3448000,,3448053,160000
2000-0535-KOR,2000,535,Natural,Hydrological,Flood,Flash flood,,Korea (the Republic of),KOR,EasternAsia,Asia,"Chollanam-do, Chollabuk-do, Chungchongnam-do, Seoul, Kyonggi-do provinces",2000,8,26,2000,8,29,7,,500,,500,27000
2000-0550-KOR,2000,550,Natural,Meteorological,Storm,Tropical cyclone,Prapiroon (Typhoon n°12),Korea (the Republic of),KOR,EasternAsia,Asia,"Chollabuk-do, Chungchongnam-do, Cheju-do provinces",2000,8,31,2000,8,31,25,,,300,300,11300
